identifier	question
shakespeare-sonnets_17	Who will believe my verse in time to come Who will believe my verse in time to come, If it were fill''d with your most high deserts?
shakespeare-sonnets_18	Shall I compare thee to a summer''s day?
shakespeare-sonnets_18	Shall I compare thee to a summer''s day?
shakespeare-sonnets_28	How can I then return in happy plight How can I then return in happy plight, That amdebarre''d the benefit of rest?
shakespeare-sonnets_39	And what is''t but mine own when I praise thee?
shakespeare-sonnets_39	What can mine own praise to mine own self bring?
shakespeare-sonnets_39	how thy worth with manners may I sing, When thou art all the better part of me?
shakespeare-sonnets_40	Take all my loves, my love, yea take them all Take all my loves, my love, yea take them all; What hast thou then more than thou hadst before?
shakespeare-sonnets_51	what excuse will my poor beast then find, When swift extremity can seem but slow?
shakespeare-sonnets_53	What is your substance, whereof are you made What is your substance, whereof are you made, That millions of strange shadows on you tend?
shakespeare-sonnets_57	Being your slave what should I do but tend Being your slave what should I do but tend, Upon the hours, and times of your desire?
shakespeare-sonnets_61	Dost thou desire my slumbers should be broken, While shadows like to thee do mock my sight?
shakespeare-sonnets_61	Is it thy will, thy image should keep open Is it thy will, thy image should keep open My heavy eyelids to the weary night?
shakespeare-sonnets_65	Or what strong hand can hold his swift foot back?
shakespeare-sonnets_65	Or who his spoil of beauty can forbid?
shakespeare-sonnets_65	where, alack, Shall Time''s best jewel from Time''s chest lie hid?
shakespeare-sonnets_67	Why should false painting imitate his cheek, And steel dead seeming of his living hue?
shakespeare-sonnets_67	Why should he live, now Nature bankrupt is, Beggar''d of blood to blush through lively veins?
shakespeare-sonnets_67	Why should poor beauty indirectly seek Roses of shadow, since his rose is true?
shakespeare-sonnets_76	Why is my verse so barren of new pride Why is my verse so barren of new pride, So far from variation or quick change?
shakespeare-sonnets_76	Why with the time do I not glance aside To new- found methods, and to compounds strange?
shakespeare-sonnets_84	Who is it that says most, which can say more Who is it that says most, which can say more, Than this rich praise,--that you alone, are you?
shakespeare-sonnets_86	Was it his spirit, by spirits taught to write, Above a mortal pitch, that struck me dead?
shakespeare-sonnets_87	And for that riches where is my deserving?
shakespeare-sonnets_87	For how do I hold thee but by thy granting?
shakespeare-sonnets_92	But what''s so blessed- fair that fears no blot?
