trigram	frequency
drunk of siren	2
let me confess	2
and all things	2
age black was	2
be it not	2
by and by	2
if it were	2
me to justify	2
eyes best see	2
every thing that	2
year thou mayst	2
do not you	2
whose blessed key	2
lines that i	2
as a fever	2
as food to	2
like as the	2
that i before	2
most i wink	2
show thee how	2
when most i	2
creatures we desire	2
that we two	2
nor the prophetic	2
is endeared with	2
i faint when	2
full sail of	2
be vile than	2
the marriage of	2
i journey on	2
when my love	2
didst thou promise	2
live your epitaph	2
will show thee	2
me for my	2
epitaph to make	2
then can i	2
my dear love	2
towards the pebbled	2
you to my	2
if thou wilt	2
what potions have	2
those pretty wrongs	2
who are in	2
is it for	2
of new pride	2
i when i	2
do not press	2
like a winter	2
as thou shalt	2
saw that you	2
the very same	2
and you in	2
thou make the	2
how like a	2
not me to	2
me when i	2
an unperfect actor	2
do count the	2
in the old	2
my body is	2
so is it	2
all my grief	2
when i do	2
of thee that	2
will do none	2
longer mourn for	2
false of heart	2
heart that makes	2
not be thy	2
but in the	2
painter and hath	2
check thee that	2
with mine eyes	2
of many a	2
be wise as	2
eyes i love	2
it not said	2
to the sessions	2
to wet a	2
it that says	2
did i chide	2
full many a	2
for thy self	2
the slow offence	2
were once unkind	2
faith i do	2
i compare thee	2
thou art all	2
that i may	2
like the sun	2
thy image should	2
my glass shall	2
muse in manners	2
not boast that	2
that makes my	2
power hast thou	2
shall besiege thy	2
my absence been	2
oaths of thy	2
verse in time	2
me not to	2
and for that	2
better to be	2
have scanted all	2
i bore the	2
thus is his	2
is it not	2
forty winters shall	2
why didst thou	2
never saw that	2
the other two	2
the orient when	2
upon thy aid	2
if thou survive	2
sake do you	2
how thy worth	2
i think good	2
so barren of	2
before have writ	2
hath her wish	2
i have of	2
the map of	2
work did frame	2
to thy sweet	2
eyes are nothing	2
not from the	2
did painting need	2
who is it	2
he will not	2
in the orient	2
pretty wrongs that	2
her it is	2
ink may character	2
should task you	2
i alone did	2
thoughts as food	2
for my muse	2
when i was	2
music to hear	2
dear virtue hate	2
where is my	2
and for myself	2
that heart that	2
proud full sail	2
thou thy self	2
beauty beauteous seem	2
call upon thy	2
knows it is	2
ever that time	2
to justify the	2
count the clock	2
thou shalt wane	2
fast as thou	2
what is your	2
and will do	2
muse brings forth	2
his great verse	2
not my love	2
i of you	2
if ever that	2
so fast thou	2
black was not	2
for some fault	2
love excuse the	2
how can my	2
is too young	2
are you made	2
art too dear	2
a beauteous day	2
call not me	2
in me behold	2
that have power	2
i am forsworn	2
such a beauteous	2
in one of	2
love were but	2
when i consider	2
that the world	2
and tell the	2
day by day	2
my love swears	2
the gilded monuments	2
believe my verse	2
is my sin	2
my deeds to	2
put in my	2
dear love were	2
thou art true	2
unkind befriends me	2
time of year	2
thee to a	2
doth my mind	2
i can not	2
shall not be	2
me confess that	2
they that have	2
what conscience is	2
how sweet and	2
all my best	2
a decrepit father	2
i do change	2
look in thy	2
against my self	2
careful housewife runs	2
therefore to be	2
not to the	2
to be vile	2
and do not	2
stars do i	2
let those who	2
of days outworn	2
of thy worth	2
in a waste	2
me as with	2
thy fault is	2
being your slave	2
do mine eyes	2
those who are	2
swear against the	2
death i cry	2
not love thee	2
thy self thou	2
the gracious light	2
and every fair	2
eyes can see	2
my muse brings	2
of true minds	2
the chronicle of	2
i have gone	2
in the chronicle	2
then hate me	2
lord of my	2
of mine own	2
all mine eye	2
a glorious morning	2
art as tyrannous	2
you never can	2
thou art too	2
and pity doth	2
soul check thee	2
it the proud	2
dear for my	2
whether doth my	2
what dost thou	2
my verse in	2
are in favour	2
poverty my muse	2
to know what	2
with all hearts	2
alone did call	2
have i invoked	2
a careful housewife	2
that you did	2
thee how to	2
makes my heart	2
of my love	2
have power to	2
thou survive my	2
mine is thy	2
and therefore to	2
thee that the	2
love to any	2
that thou art	2
have gone here	2
do i journey	2
to my bed	2
to set me	2
whom in vassalage	2
when i of	2
truant muse what	2
not to be	2
accuse me thus	2
tired with all	2
not you a	2
are you to	2
thee how thy	2
say that thou	2
promise such a	2
i chide the	2
thou art cruel	2
and all those	2
which in thy	2
own hand did	2
better part of	2
we desire increase	2
mine own fears	2
a winter hath	2
may i sing	2
barren of new	2
with me as	2
forsake me for	2
that she is	2
glass will show	2
of siren tears	2
then let not	2
that thou didst	2
of spirit in	2
endeared with all	2
why is my	2
of a former	2
and heart a	2
that mine eye	2
me to my	2
fairest creatures we	2
that ink may	2
she is made	2
tell the face	2
glorious morning have	2
let me not	2
should keep open	2
on the stage	2
from what power	2
when to the	2
thou promise such	2
who in thy	2
aught to me	2
in thee are	2
love possesseth all	2
love is my	2
glass and tell	2
as a decrepit	2
absent from thy	2
muse that thou	2
more delight than	2
to my muse	2
never say that	2
or i shall	2
so far from	2
thus did i	2
within thine own	2
those lips that	2
you a mightier	2
not with me	2
can my love	2
might i not	2
thou upon thy	2
eye doth view	2
are within my	2
in thy glass	2
o truant muse	2
league is took	2
a waste of	2
flesh were thought	2
eyes hath love	2
so am i	2
be thy defect	2
with their stars	2
in thy breast	2
oft have i	2
was i when	2
i was false	2
were it not	2
his brand and	2
i left you	2
is your substance	2
was false of	2
of that which	2
manners holds her	2
chronicle of wasted	2
clock that tells	2
hath my absence	2
is made of	2
were but the	2
my muse want	2
thoughts of love	2
now i have	2
more doth beauty	2
favour with their	2
of my flesh	2
survive my well	2
if the dull	2
ragged hand deface	2
from you have	2
do not love	2
worst to steal	2
besiege thy brow	2
orient when the	2
the painter and	2
i do not	2
child of state	2
dull substance of	2
with that which	2
mine eyes best	2
heart a league	2
as an unperfect	2
here and there	2
that liberty commits	2
do i my	2
all my loves	2
we two must	2
yea take them	2
of comfort and	2
take them all	2
sweet silent thought	2
love thee not	2
thing that grows	2
invoked thee for	2
know what conscience	2
a mightier way	2
was not counted	2
i am dead	2
the child of	2
which on thy	2
i consider every	2
sweet and lovely	2
have i drunk	2
in thy power	2
he is thine	2
our appetite more	2
runs to catch	2
were your self	2
that with gentle	2
potions have i	2
took my way	2
manners may i	2
fear to wet	2
and thy dear	2
say that i	2
as the waves	2
hate me when	2
it not with	2
dost thou make	2
i do but	2
i shall live	2
i as the	2
within my brain	2
two must be	2
a kind of	2
in thy heart	2
with thy sweet	2
that which flies	2
me when thou	2
absent in the	2
housewife runs to	2
sin of self	2
i invoked thee	2
love you are	2
can be old	2
hath love put	2
is it that	2
you have i	2
the world may	2
how heavy do	2
your self in	2
his cheek the	2
the impression fill	2
your epitaph to	2
as the rich	2
should i do	2
have i been	2
verse so barren	2
i do count	2
betwixt mine eye	2
in that i	2
this powerful might	2
so as thou	2
with manners may	2
love swears that	2
my flesh were	2
that time of	2
justify the wrong	2
the world will	2
of year thou	2
in their skill	2
muse what shall	2
swears that she	2
but wherefore do	2
brand and fell	2
to make him	2
thou shalt be	2
say i love	2
the time that	2
at that which	2
gentle work did	2
i drunk of	2
substance of my	2
gone here and	2
but do not	2
unperfect actor on	2
not married to	2
face thou viewest	2
renew thy force	2
i am now	2
doth beauty beauteous	2
you do write	2
thee to be	2
my life hath	2
to all the	2
of thy beauty	2
when i took	2
art thou muse	2
heart to groan	2
the world should	2
my judgement pluck	2
thine eyes i	2
with that muse	2
for a look	2
sail of his	2
you were your	2
once unkind befriends	2
tells the time	2
god lying once	2
by thy beauty	2
that time come	2
want subject to	2
thy soul check	2
bore the canopy	2
much more doth	2
thou shalt find	2
that god forbid	2
time to come	2
decrepit father takes	2
the prey of	2
dost thou spend	2
journey on the	2
thy bosom is	2
thou music sadly	2
of you do	2
subject to invent	2
that thou in	2
i grant thou	2
your love and	2
and heart are	2
is the time	2
for fear to	2
be nothing new	2
of sweet silent	2
thy worth with	2
been absent in	2
love shall be	2
but if thou	2
do you with	2
to mine eyes	2
hand did make	2
whereof are you	2
restful death i	2
beshrew that heart	2
no more be	2
power to hurt	2
if it be	2
then do mine	2
thou wert not	2
though more weak	2
careful was i	2
my verse so	2
thy good report	2
at a mortal	2
disgrace with fortune	2
whilst i alone	2
return in happy	2
to whom in	2
are nothing like	2
if there be	2
and purging fire	2
the thing they	2
that made me	2
consider every thing	2
but thou art	2
there be nothing	2
set me light	2
be thy amends	2
even in the	2
in my love	2
the little love	2
in disgrace with	2
but that which	2
to torture me	2
or whether doth	2
morning have i	2
didst forsake me	2
hast her it	2
as a careful	2
the dull substance	2
in the brain	2
with fortune and	2
have sworn thee	2
married to my	2
than thou art	2
slave what should	2
must not be	2
when thou wilt	2
spirit in a	2
what thou dost	2
