identifier	question
chapter-017	Where''s your harpoon?"
chapter-017	said I;"every true whaleman sleeps with his harpoon-- but why not?"
chapter-017	says I;"but that''s a rather cold and clammy reception in the winter time, ai n''t it, Mrs Hussey?"
chapter-105	Think you not then that brains, like yoked cattle, should be put to this leviathan, to make him at all budge to any landsman''s imagination?
chapter-089	"What ails ye, man?"
chapter-089	But how now?
chapter-089	Who struck?
chapter-089	does his crew drink air?
chapter-089	in this zoned quest, does Ahab touch no land?
chapter-003	Are the green fields gone?
chapter-003	But being paid,--what will compare with it?
chapter-003	How then is this?
chapter-003	Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?
chapter-003	Were Niagara but a cataract of sand, would you travel your thousand miles to see it?
chapter-003	What do they here?
chapter-003	What does that indignity amount to, weighed, I mean, in the scales of the New Testament?
chapter-003	What is the chief element he employs?
chapter-003	What of it, if some old hunks of a sea- captain orders me to get a broom and sweep down the decks?
chapter-003	Who ai nt a slave?
chapter-003	Why did the Greeks give it a separate deity, and own brother of Jove?
chapter-003	Why did the old Persians hold the sea holy?
chapter-003	Why is almost every robust healthy boy with a robust healthy soul in him, at some time or other crazy to go to sea?
chapter-120	Or canst thou tell where some other thing besides me is this moment living?
chapter-120	Where is Moby Dick?
chapter-120	thou tellest me truly where I am-- but canst thou cast the least hint where I shall be?
chapter-094	Now how did this odious stigma originate?
chapter-094	Now that the incorruption of this most fragrant ambergris should be found in the heart of such decay; is this nothing?
chapter-094	What then shall I liken the Sperm Whale to for fragrance, considering his magnitude?
chapter-067	And what do you pick your teeth with, after devouring that fat goose?
chapter-067	And with what quill did the Secretary of the Society for the Suppression of Cruelty to Ganders formally indite his circulars?
chapter-067	But Stubb, he eats the whale by its own light, does he?
chapter-067	Cannibals?
chapter-067	Does not that sight take a tooth out of the cannibal''s jaw?
chapter-067	and that is adding insult to injury, is it?
chapter-067	who is not a cannibal?
chapter-106	How, then, with me, writing of this Leviathan?
chapter-106	Who can show a pedigree like Leviathan?
chapter-116	In what rapt ether sails the world, of which the weariest will never weary?
chapter-116	Where is the foundling''s father hidden?
chapter-116	Where lies the final harbor, whence we unmoor no more?
chapter-112	But if the currents carry ye to those sweet Antilles where the beaches are only beat with water- lilies, will ye do one little errand for me?
chapter-112	Ho, where''s his harpoon?
chapter-112	Where go ye now?
chapter-112	will ye never have done with all this weary roving?
chapter-020	"Do tell, now,"cried Bildad,"is this Philistine a regular member of Deacon Deuteronomy''s meeting?
chapter-020	"How long hath he been a member?"
chapter-020	"What do you mean by that, Captain Peleg?"
chapter-020	Death and the judgment then?
chapter-020	I say, Quohog, or whatever your name is, did you ever stand in the head of a whale- boat?
chapter-020	I say, tell Quohog there-- what''s that you call him?
chapter-020	Son of darkness,"he added, turning to Queequeg,"art thou at present in communion with any christian church?"
chapter-020	Think of Death and the Judgment then?
chapter-020	What church dost thee mean?
chapter-020	What?
chapter-020	You see him?
chapter-020	did you ever strike a fish?"
chapter-020	dost thou sign thy name or make thy mark?"
chapter-020	that worships in Deacon Deuteronomy Coleman''s meeting- house?"
chapter-092	"But the duke had nothing to do with taking this fish?"
chapter-092	"Is the Duke so very poor as to be forced to this desperate mode of getting a livelihood?"
chapter-092	"Please, sir, who is the Lord Warden?"
chapter-092	"Wo n''t the Duke be content with a quarter or a half?"
chapter-092	But is the Queen a mermaid, to be presented with a tail?
chapter-092	But why should the King have the head, and the Queen the tail?
chapter-092	Is this the still militant old man, standing at the corners of the three kingdoms, on all hands coercing alms of beggars?
chapter-087	But then again, what has the whale to say?
chapter-087	But what does he want of them?
chapter-087	But why pester one with all this reasoning on the subject?
chapter-087	How is this?
chapter-087	Now, why should the whale thus insist upon having his spoutings out, unless it be to replenish his reservoir of air, ere descending for good?
chapter-087	You have seen him spout; then declare what the spout is; can you not tell water from air?
chapter-119	"And what was that saying about thyself?"
chapter-119	"And when thou art so gone before-- if that ever befall-- then ere I can follow, thou must still appear to me, to pilot me still?--Was it not so?
chapter-119	"And who are hearsed that die on the sea?"
chapter-119	"Of the hearses?
chapter-119	Have I not said, old man, that neither hearse nor coffin can be thine?"
chapter-131	Jumped from a whale- boat once;--seen him?
chapter-131	What?
chapter-131	Who''s seen Pip?
chapter-131	what''s this?
chapter-133	"Hast killed him?"
chapter-133	"Hast seen the White Whale?"
chapter-133	Then turning to his crew--"Are ye ready there?
chapter-042	Damn me, wo n''t you dance?
chapter-042	Eh, Pagan?
chapter-042	Form, now, Indian- file, and gallop into the double- shuffle?
chapter-042	How then, if so be transplanted to yon sky?
chapter-042	Jollies?
chapter-042	Me too; where''s your girls?
chapter-042	No?
chapter-042	What of that?
chapter-042	What say ye?
chapter-042	What''s that I saw-- lightning?
chapter-042	White squalls?
chapter-042	Who but a fool would take his left hand by his right, and say to himself, how d''ye do?
chapter-042	Who''d go climbing after chestnuts now?
chapter-042	Why then, God, mad''st thou the ring?
chapter-042	d''ye hear, bell- boy?
chapter-122	"Sir?--in God''s name!--sir?"
chapter-122	Shall I get them inboard?"
chapter-122	Shall I strike it, sir?"
chapter-122	Shall I strike that?
chapter-104	"Aye, priests-- well, how long do ye make him, then?"
chapter-104	But how now, Ishmael?
chapter-104	Can you land a full- grown whale on your deck for examination, as a cook dishes a roast- pig?
chapter-104	How is it, that you, a mere oarsman in the fishery, pretend to know aught about the subterranean parts of the whale?
chapter-104	Think you I let that chance go, without using my boat- hatchet and jack- knife, and breaking the seal and reading all the contents of that young cub?
chapter-104	unseen weaver!--pause!--one word!--whither flows the fabric?
chapter-104	what palace may it deck?
chapter-104	wherefore all these ceaseless toilings?
chapter-111	"Up Burtons and break out?
chapter-111	"What will the owners say, sir?"
chapter-111	"Who''s there?"
chapter-111	Now that we are nearing Japan; heave- to here for a week to tinker a parcel of old hoops?"
chapter-111	Owners, owners?
chapter-111	Shall we not understand each other better than hitherto, Captain Ahab?"
chapter-111	What cares Ahab?
chapter-111	Yet I do n''t stop to plug my leak; for who can find it in the deep- loaded hull; or how hope to plug it, even if found, in this life''s howling gale?
chapter-023	"Ai nt going aboard, then?"
chapter-023	"Aye, aye, ye are going in her, be ye?
chapter-023	"Find who?"
chapter-023	"Going aboard?"
chapter-023	"Shipped men,"answered I,"when does she sail?"
chapter-023	"Those sailors we saw, Queequeg, where can they have gone to?"
chapter-023	"What Captain?--Ahab?"
chapter-023	"What''s that for, Queequeg?"
chapter-023	"Who but him indeed?"
chapter-023	"Ye be, be ye?
chapter-023	"Yes, we are,"said I,"but what business is that of yours?
chapter-023	Coming back afore breakfast?"
chapter-023	Do you know, Mr. Elijah, that I consider you a little impertinent?"
chapter-023	I was going to warn ye against-- but never mind, never mind-- it''s all one, all in the family too;--sharp frost this morning, ai n''t it?
chapter-023	Once more we quitted him; but once more he came softly after us; and touching my shoulder again, said,"See if you can find''em now, will ye?"
chapter-023	he breathed at last,"who be ye smokers?"
chapter-023	said I,"call that his face?
chapter-050	"Captain Ahab?"
chapter-050	"Lower away then; d''ye hear?"
chapter-050	"Why do n''t you break your backbones, my boys?
chapter-050	And did n''t I tell Cabaco here of it?
chapter-050	But what the devil are you hurrying about?
chapter-050	Did n''t I hear''em in the hold?
chapter-050	Fits?
chapter-050	Pull, will ye?
chapter-050	Those chaps in yonder boat?
chapter-050	What is it you stare at?
chapter-050	What say ye, Cabaco?
chapter-050	Why do n''t you snap your oars, you rascals?
chapter-050	Will you mount?"
chapter-050	pull, ca n''t ye?
chapter-050	pull, wo n''t ye?
chapter-033	"What d''ye think of that now, Flask?
chapter-033	''And what business is that of yours, I should like to know, Mr. Humpback?
chapter-033	''Halloa,''says I,''what''s the matter now, old fellow?''
chapter-033	''Very good,''says he--''he used his ivory leg, did n''t he?''
chapter-033	''Well then,''says he,''wise Stubb, what have you to complain of?
chapter-033	''What am I about?''
chapter-033	''What are you''bout?''
chapter-033	''Why,''thinks I,''what''s the row?
chapter-033	A white whale-- did ye mark that, man?
chapter-033	Captain Ahab kicked ye, did n''t he?''
chapter-033	D''ye see Ahab standing there, sideways looking over the stern?
chapter-033	Did n''t he kick with right good will?
chapter-033	Do n''t you see that pyramid?''
chapter-033	Do you want a kick?''
chapter-033	Now, what do you think of that dream, Flask?"
chapter-033	ai n''t there a small drop of something queer about that, eh?
chapter-033	it was n''t a common pitch pine leg he kicked with, was it?
chapter-033	what''s that he shouts?
chapter-130	"Hast seen the White Whale?"
chapter-130	"How was it?"
chapter-130	Have ye seen a whale- boat adrift?"
chapter-130	I take back the coat and watch-- what says Ahab?
chapter-130	Who ever heard of two pious whale- ships cruising after one missing whale- boat in the height of the whaling season?
chapter-021	"About what?"
chapter-021	"All about it, eh-- sure you do?--all?"
chapter-021	"Anything down there about your souls?"
chapter-021	"Have ye shipped in her?"
chapter-021	"What are you jabbering about, shipmate?"
chapter-021	"What did they tell you about him?
chapter-021	"What do you know about him?"
chapter-021	"Who''s Old Thunder?"
chapter-021	"Ye said true-- ye hav''n''t seen Old Thunder yet, have ye?"
chapter-021	But stop, tell me your name, will you?"
chapter-021	Did n''t ye hear a word about them matters and something more, eh?
chapter-021	Names down on the papers?
chapter-021	No, I do n''t think ye did; how could ye?
chapter-021	Nothing about the silver calabash he spat into?
chapter-021	THE PROPHET"Shipmates, have ye shipped in that ship?"
chapter-021	Who knows it?
chapter-021	Ye hav''n''t seen him yet, have ye?"
chapter-021	the captain of our ship, the Pequod?"
chapter-128	"And shall I caulk the seams, sir?"
chapter-128	"And shall I nail down the lid, sir?"
chapter-128	"And shall I then pay over the same with pitch, sir?"
chapter-128	Are all my pains to go for nothing with that coffin?
chapter-128	Dost thou hear me?
chapter-128	I''ll have me-- let''s see-- how many in the ship''s company, all told?
chapter-128	Were ever such things done before with a coffin?
chapter-128	What possesses thee to this?
chapter-005	"Broke,"said I--"broke, do you mean?"
chapter-005	"But avast,"he added, tapping his forehead,"you haint no objections to sharing a harpooneer''s blanket, have ye?
chapter-005	"Ca n''t sell his head?--What sort of a bamboozingly story is this you are telling me?"
chapter-005	"Landlord,"I whispered,"that ai nt the harpooneer, is it?"
chapter-005	"Stop your grinning,"shouted I,"and why did n''t you tell me that that infernal harpooneer was a cannibal?"
chapter-005	"Where is that harpooneer?
chapter-005	"Who- e debel you?"
chapter-005	"With heads to be sure; ai n''t there too many heads in the world?"
chapter-005	"With what?"
chapter-005	But could it be possible that any sober harpooneer would get into a door mat, and parade the streets of any Christian town in that sort of guise?
chapter-005	But stop; does it not bear a faint resemblance to a gigantic fish?
chapter-005	But what is this on the chest?
chapter-005	Is he here?"
chapter-005	Queequeg, look here-- you sabbee me, I sabbee you-- this man sleepe you-- you sabbee?"
chapter-005	Supper?--you want supper?
chapter-005	Suppose now, he should tumble in upon me at midnight-- how could I tell from what vile hole he had been coming?
chapter-005	even the great leviathan himself?
chapter-005	said I,"what sort of a chap is he-- does he always keep such late hours?"
chapter-005	where''s Bulkington?"
chapter-044	Bethink thee of the albatross, whence come those clouds of spiritual wonderment and pale dread, in which that white phantom sails in all imaginations?
chapter-044	But how had the mystic thing been caught?
chapter-044	But though without dissent this point be fixed, how is mortal man to account for it?
chapter-044	Why should this be so?
chapter-044	Wonder ye then at the fiery hunt?
chapter-121	"Are they overboard?
chapter-121	"I do n''t half understand ye: what''s in the wind?"
chapter-121	"I own thy speechless, placeless power; said I not so?
chapter-121	"Who''s there?"
chapter-121	But do they only have mercy on long faces?--have they no bowels for a laugh?
chapter-121	The javelins cease; open eyes; see, or not?
chapter-121	how can you see better of a dark night than anybody else, never mind how foolish?"
chapter-121	now mark his boat there; where is that stove?
chapter-121	the very course he swung to this day noon?
chapter-121	what hast thou done with her?
chapter-093	"A wooden rose- bud, eh?"
chapter-093	"Broke it?"
chapter-093	"But what are you holding yours for?"
chapter-093	"The White Whale-- a Sperm Whale-- Moby Dick, have ye seen him?"
chapter-093	"Well, then, my Bouton- de- Rose- bud, have you seen the White Whale?"
chapter-093	"What in the devil''s name do you want here?"
chapter-093	"What now?"
chapter-093	"What now?"
chapter-093	"What shall I say to him first?"
chapter-093	"What whale?"
chapter-093	"What''s the matter with your nose, there?"
chapter-093	Air rather gardenny, I should say; throw us a bunch of posies, will ye, Bouton- de- Rose?"
chapter-093	But joking aside, though; do you know, Rose- bud, that it''s all nonsense trying to get any oil out of such whales?
chapter-093	Fine day, ai nt it?
chapter-093	are there any of you Bouton- de- Roses that speak English?"
chapter-093	keep cool-- cool?
chapter-093	yes, that''s the word; why do n''t you pack those whales in ice while you''re working at''em?
chapter-074	"Aye, aye, steward,"cried Stubb,"we''ll teach you to drug a harpooneer; none of your apothecary''s medicine here; you want to poison us, do ye?
chapter-074	"Ginger?
chapter-074	Are you not the precious image of each and all of us men in this whaling world?
chapter-074	But how did so clumsy and weighty a mass as that same hook get fixed in that hole?
chapter-074	Do I smell ginger?"
chapter-074	Is the steward an apothecary, sir?
chapter-074	Some hot Cognac?
chapter-074	Then standing as if incredulous for a while, he calmly walked towards the astonished steward slowly saying,"Ginger?
chapter-074	What were you about saying, sir?"
chapter-074	You have got out insurances on our lives and want to murder us all, and pocket the proceeds, do ye?"
chapter-074	and may I ask whether this is the sort of bitters by which he blows back the life into a half- drowned man?"
chapter-074	and will you have the goodness to tell me, Mr. Dough- Boy, where lies the virtue of ginger?
chapter-074	ginger?
chapter-074	is ginger the sort of fuel you use, Dough- boy, to kindle a fire in this shivering cannibal?
chapter-115	"And I suppose thou can''st smoothe almost any seams and dents; never mind how hard the metal, blacksmith?"
chapter-115	"And can''st thou make it all smooth, again, blacksmith, after such hard usage as it had?"
chapter-115	"Are these thy Mother Carey''s chickens, Perth?
chapter-115	"Horse- shoe stubbs, sir?
chapter-115	"What''s that bunch of lucifers dodging about there for?"
chapter-115	"Would''st thou brand me, Perth?"
chapter-115	Can''st thou smoothe this seam?"
chapter-115	Do the heavens yet hate thee, that thou can''st not go mad?--What wert thou making there?"
chapter-115	How can''st thou endure without being mad?
chapter-115	Is not this harpoon for the White Whale?"
chapter-115	Said I not all seams and dents but one?"
chapter-115	Thou should''st go mad, blacksmith; say, why dost thou not go mad?
chapter-115	Will ye give me as much blood as will cover this barb?"
chapter-115	wincing for a moment with the pain;"have I been but forging my own branding- iron, then?"
chapter-136	"D''ye see him?"
chapter-136	"Sir?"
chapter-136	"Why sing ye not out for him, if ye see him?"
chapter-136	Believe ye, men, in the things called omens?
chapter-136	D''ye feel brave men, brave?"
chapter-136	Gone?--gone?
chapter-136	Shall we be dragged by him to the bottom of the sea?
chapter-136	Shall we be towed by him to the infernal world?
chapter-136	how valiantly I seek to drive out of others''hearts what''s clinched so fast in mine!--The Parsee-- the Parsee!--gone, gone?
chapter-136	my line?
chapter-136	which way?"
chapter-135	"And did none of ye see it before?"
chapter-135	"How heading when last seen?"
chapter-135	"Lay it before me;--any missing men?"
chapter-135	"Omen?
chapter-135	"The harpoon,"said Ahab, half way rising, and draggingly leaning on one bended arm--"is it safe?"
chapter-135	"What d''ye see?"
chapter-135	"What soulless thing is this that laughs before a wreck?
chapter-135	All ready the boats there?
chapter-135	Cold, cold-- I shiver!--How now?
chapter-135	D''ye see him?
chapter-135	D''ye see him?"
chapter-101	Ai n''t I a crow?
chapter-101	And what''s the horse- shoe sign?
chapter-101	And where''s the scare- crow?
chapter-101	But, unscrew your navel, and what''s the consequence?
chapter-101	How did it get there?
chapter-101	Now, in what sign will the sun then be?
chapter-101	Signs and wonders, eh?
chapter-101	So, what''s all this staring been about?
chapter-101	What does he say, with that look of his?
chapter-101	What says the Cannibal?
chapter-101	What then should there be in this doubloon of the Equator that is so killing wonderful?
chapter-125	But how fair?
chapter-125	Does he not say he will not strike his spars to any gale?
chapter-125	Great God forbid!--But is there no other way?
chapter-125	Great God, where art thou?
chapter-125	Has he not dashed his heavenly quadrant?
chapter-125	Loaded?
chapter-125	Shall I?
chapter-125	Sleeping?
chapter-125	What, then, remains?
chapter-125	and in these same perilous seas, gropes he not his way by mere dead reckoning of the error- abounding log?
chapter-125	and in this very Typhoon, did he not swear that he would have no lightning- rods?
chapter-125	hope to wrest this old man''s living power from his own living hands?
chapter-125	is he muttering in his sleep?
chapter-125	no lawful way?--Make him a prisoner to be taken home?
chapter-110	Canst thou not drive that old Adam away?
chapter-110	Carpenter?
chapter-110	In thy most solitary hours, then, dost thou not fear eavesdroppers?
chapter-110	Is''t a riddle?
chapter-110	Look ye, pudding- heads should never grant premises.--How long before this leg is done?
chapter-110	May I humbly ask if it be really so, sir?
chapter-110	Now, what''s he speaking about, and who''s he speaking to, I should like to know?
chapter-110	Shall I keep standing here?
chapter-110	Sir?
chapter-110	Sir?--Clay?
chapter-110	That''s it, hey?
chapter-110	What art thou sneezing about?
chapter-110	What art thou thrusting that thief- catcher into my face for, man?
chapter-110	What was that now about one leg standing in three places, and all three places standing in one hell-- how was that?
chapter-110	What''s Prometheus about there?--the blacksmith, I mean-- what''s he about?
chapter-110	clay, sir?
chapter-127	"And who art thou, boy?
chapter-127	"In the Isle of Man, hey?
chapter-127	"Pip?
chapter-127	"What''s that?
chapter-127	"What''s this?
chapter-127	Ha, Pip?
chapter-127	Here''s a man from Man; a man born in once independent Man, and now unmanned of Man; which is sucked in-- by what?
chapter-127	Long heat and wet, have they spoiled thee?
chapter-127	Mend it, eh?
chapter-127	Where sayest thou Pip was, boy?"
chapter-127	Where wert thou born?"
chapter-127	Who art thou, boy?"
chapter-127	Who''s seen Pip the coward?"
chapter-127	come to help; eh, Pip?"
chapter-127	whom call ye Pip?
chapter-134	But do I look very old, so very, very old, Starbuck?
chapter-134	Is Ahab, Ahab?
chapter-134	Is it I, God, or who, that lifts this arm?
chapter-134	Sleep?
chapter-134	Sleeping?
